"","Close"
"2020-01-02",9691.200195
"2020-01-03",9646.599609
"2020-01-06",9600.900391
"2020-01-07",9579.799805
"2020-01-08",9591.400391
"2020-01-09",9581.799805
"2020-01-10",9573.599609
"2020-01-13",9543.900391
"2020-01-14",9528.299805
"2020-01-15",9511.700195
"2020-01-16",9572.5
"2020-01-17",9681.299805
"2020-01-20",9658.799805
"2020-01-21",9611.299805
"2020-01-22",9573.700195
"2020-01-23",9518.5
"2020-01-24",9562
"2020-01-27",9366.299805
"2020-01-28",9484.200195
"2020-01-29",9546.700195
"2020-01-30",9477.900391
"2020-01-31",9367.900391
"2020-02-03",9404.700195
"2020-02-04",9562.900391
"2020-02-05",9717.799805
"2020-02-06",9811.299805
"2020-02-07",9811
"2020-02-10",9816
"2020-02-11",9882.599609
"2020-02-12",9940.400391
"2020-02-13",9909.799805
"2020-02-14",9956.799805
"2020-02-17",10022.200195
"2020-02-18",10005.799805
"2020-02-19",10083.599609
"2020-02-20",9931
"2020-02-21",9886.200195
"2020-02-24",9483.5
"2020-02-25",9250.799805
"2020-02-26",9316.799805
"2020-02-27",8985.900391
"2020-02-28",8723.200195
"2020-03-02",8741.5
"2020-03-03",8811.599609
"2020-03-04",8910
"2020-03-05",8683
"2020-03-06",8375.599609
"2020-03-09",7708.700195
"2020-03-10",7461.5
"2020-03-11",7436.399902
"2020-03-12",6390.899902
"2020-03-13",6629.600098
"2020-03-16",6107.200195
"2020-03-17",6498.5
"2020-03-18",6274.799805
"2020-03-19",6395.799805
"2020-03-20",6443.299805
"2020-03-23",6230.200195
"2020-03-24",6717.299805
"2020-03-25",6942.399902
"2020-03-26",7033.200195
"2020-03-27",6777.899902
"2020-03-30",6659.899902
"2020-03-31",6785.399902
"2020-04-01",6579.399902
"2020-04-02",6574.100098
"2020-04-03",6581.600098
"2020-04-06",6844.299805
"2020-04-07",7002
"2020-04-08",6951.799805
"2020-04-09",7070.600098
"2020-04-14",7108.600098
"2020-04-15",6839.5
"2020-04-16",6763.399902
"2020-04-17",6875.799805
"2020-04-20",6831.5
"2020-04-21",6634.899902
"2020-04-22",6719.799805
"2020-04-23",6746.5
"2020-04-24",6613.899902
"2020-04-27",6731.799805
"2020-04-28",6836.399902
"2020-04-29",7055.700195
"2020-04-30",6922.299805
